Pathway	pVal	zScore	Genes	type	comparison
AKT1 Signaling	3.372634143	-0.925	"ACLY,ACTA2,AIP,AKR1C1/AKR1C2,ATP6V1E1,AURKB,BAX,BIRC3,BIRC5,CCL4,CCL5,CCND2,CDK4,CFLAR,CKS2,COL4A1,CST3,CTSV,DHCR7,EZR,FABP5,FN1,FOXO1,FSTL1,GCSH,GSTM5,IGFBP5,LAMA1,LDHB,MBP,ME1,MYC,MYH10,MYH7,NDC80,NFE2L2,PDGFRA,PDGFRB,PHLDA1,PIK3R1,PLP1,PPARA,PROM1,SERPINE1,SIVA1,SNAI2,STUB1,TGFB2,TK1,TP53,UBE2C,VCAN"	Upstream	Adult_vs_Fetal
Angiogenesis	8.716698771	-0.903	"GNA11,POLD4,ITGA7,TNFRSF10B,ENPEP,SNAI2,NFKBIB,TNC,LRP1,ATP5F1A,CD9,S1PR1,NPY,PTX3,PLEKHG5,EFNB1,LAMA1,BIRC5,NRG1,PTK2,PTK7,GDNF,AHR,LGALS8,SMARCA1,IL1A,SCG2,CD34,IFI16,CALCB,HEY1,FBLN2,CCN1,HTATIP2,NDRG1,PKD1,DLK1,THY1,SYNE2,EPHB1,SPRY4,CBX2,STK11,CLDN5,AP4S1,SERPINH1,FOLH1,FOXC1,LPAR2,LMO2,PLAT,CD276,PLXNA4,PAX6,FZD8,SEPTIN9,FGFR1,APLNR,TUBB3,YAP1,NR2E1,LRP8,STAT3,SKP2,CDKN2D,RUNX1,WARS1,DHCR7,APLN,SEMA5A,ROBO2,COL4A1,EGFR,PDGFRA,SP100,SRPK1,TGFB2,FSTL1,RHOJ,VAV2,BMPR1A,MYC,TFPI,ESAM,COL4A2,CSPG4,SEMA4D,GLUL,FGF1,F2RL1,GJC1,H2AX,BSG,PTN,STAT1,TSPAN12,PLCB1,NFATC4,MAP3K7,G6PD,CDK4,LMNB1,RAMP2,NR2F2,DDAH1,IGFBP7,CTNNBIP1,ECT2,IGFBP4,PTPRB,CNR1,FOXM1,PPARA,MCF2L,CST3,RAP1A,NOG,TIPARP,F2R,KLHL20,ARNT,EMP2,RPL29,DLG2,EFNB2,DLG1,HAS3,IFT88,HES1,CXCL12,TF,JCAD,S1PR3,ARHGEF26,PARVA,EPHA2,TP53,ROR1,NOTCH2,TEAD2,VANGL2,CCR5,TKT,FN1,WLS,DDIT3,PFKM,MIR124-1HG,FOXO1,CD151,PAQR3,PDGFRB,COL3A1,PAK1,IGFBP2,OGT,EDIL3,TRPC1,RDX,GRIN2B,IDH3A,PLCG1,ACVR2B,RGS5,LRP2,LRP5,ST8SIA1,ADCY6,SHROOM2,SMO,PLD1,ANGPTL4,ZFP36L1,SEMA3C,FGF13,CDKN1C,PTPRF,NGF,RND3,CYLD,ADAM9,PTPRZ1,TRPC4,PTPN14,JAM2,JAK2,CCL5,IL1B,EPHB3,CRYAB,RNH1,ADAMTS3,INSR,ZEB1,IGFBP5,COL1A2,EPHB2,GABRB3,PDGFC,PPARD,TEAD4,FBLN1,NR3C1,ANTXR1,ENPP2,HS6ST2,GADD45A,SERPINE1,CXCL14,NOTCH3,RUNX2,GJA1,PF4,FHL1,PIK3R1,ARHGAP22,WNT2,SFRP2,ITGB3,PSAP,MMP15,KLRC4-KLRK1/KLRK1,MIB1,NTN1,EPHB4,SLC9A1,GLI3,ATP5IF1,MFGE8,MYH10,ANGPTL1,NGFR,PBX1,CTBP2,TIMP3,SEMA3A,FHL2,RASA1,EPAS1,ZC3H12A,STARD13,NELL1,NFE2L2"	Functional	Adult_vs_Fetal
Apoptosis	24.96657624	3.821	"PDLIM4,PCDHGC3,GNA11,ERBB4,ANXA6,CD22,DACH1,MTCH1,ENC1,ITGA7,PAK3,DESI2,CRELD1,SNAI2,PBK,NFKBIB,ST8SIA2,KHDC1,GLIS2,PRR13,TOP2A,SPOCK1,PLEKHG5,GPM6B,SYDE1,MYRF,FOXG1,CCL19,LGALS8,SGK1,SCG2,ZNF423,BAX,FST,CD24,NMI,FBXO5,SARM1,SNX7,CCN1,FEZF2,INSM1,DEPDC1,PTP4A2,EHMT2,PTPN22,IKZF3,SPRY4,VTI1A,TPD52,SAFB,RPS3A,AIP,PLAT,PLXNA4,NCAM1,PAX6,PRDM16,MYO18A,TK1,AOPEP,HAX1,BCL2L13,PARD3,SIX4,DMRT1,YAP1,TRIM24,HAUS1,PSME4,RRM2,PALLD,IRF8,STAT3,NSG1,SKP2,CDKN2D,RUNX1,ANO6,STUB1,SCN3B,APLN,PVT1,ALS2,COL4A1,UNG,TGFB2,RACGAP1,RHOJ,POLR3E,VAV2,HEBP2,BMPR1A,RPLP0,SMAD1,CD55,SSTR2,SLC39A10,FGF1,F2RL1,GJC1,UFL1,ATP1A2,MTM1,SERINC3,PTN,CERS6,SHISA5,ACSL1,TASP1,NOL3,CDCA2,ITK,TRAP1,ADNP,CYFIP2,NDC80,SELENOP,PMP22,BOK,SOX6,CDK4,TJP2,SEC23B,WEE1,SHC4,CERS2,TRIM28,IGFBP7,SOX11,CTNNBIP1,ACLY,CNTF,FOXK2,CDKN3,KCNA3,IGFBP4,IFI27L1,SP110,CNR1,USP11,PPARA,HYAL2,MCF2L,RAP1A,NOG,SLC25A11,KLHL20,DDX43,MCM10,CCND2,HAS3,SOX5,MAPK12,EZR,TIAM1,TRIM39,CHL1,ETV5,VCAN,MYLK,HES1,CKS1B,FGD1,KLF13,CXCL12,TF,NDN,PLAAT3,EMX2,GPR37,SFT2D2,ZNF148,PRDM5,ARHGEF26,NR2F1-AS1,MAX,ROR1,TP53,NOTCH2,TEAD2,MGMT,CCR5,USP36,FN1,CDC45,DDIT3,YBX1,MIR124-1HG,BMP7,PDGFRB,HDAC2,ABR,SLC46A1,SHQ1,EDIL3,TRPC1,RDX,UHRF2,MAD2L1,GRIN2B,SLC25A6,KDM1A,MDGA2,SH3GLB1,TSC22D1,IRF2BP2,ACVR2B,E2F6,MARVELD1,LRP5,ST8SIA1,TTK,MSI1,UFM1,SMO,PCLAF,DOT1L,BASP1,SEL1L,ANGPTL4,MOG,NOC2L,RGS6,ZFP36L1,CDKN1C,IQGAP2,RND3,RELT,ZMAT3,PUF60,IL1B,ATAT1,CDC25A,NFIB,BIN1,CPEB4,INSR,CDH4,ZEB1,SGMS1,IGFBP5,PDGFC,PRDX5,ANTXR1,ENPP2,EIF3F,TFAP2C,RUNX2,MSH2,ANXA7,PF4,PRDX4,STPG1,FZD2,FHL1,ATAD2,TMEM132A,PIK3R1,TRIM37,CDK19,KDELR1,TRAF4,HMGN5,MAPK3,GIPR,TCF3,RRAS2,EPHB4,RFXANK,RPS6KA3,MPG,GLI3,CDC20,CCDC6,ING1,SHC3,LYNX1,ANGPTL1,PLP1,BUB1,TIMP3,SEMA3A,FNIP2,RASA1,MEF2A,LRRN1,TAGLN2,NEK2,LPAR1,PICK1,DKKL1,NME4,FLOT2,TNFRSF10B,ADCY1,CFLAR,TUBA1A,TNC,LRP1,HMGA2,CD9,TNFRSF11A,HIGD2A,GTSE1,S1PR1,SH3KBP1,EFNB1,AKT1S1,NF2,LAMA1,IFIT3,SIAH2,FBL,BIRC5,NRG1,NOVA2,TRAF7,PCA3,PTK2,WWC1,HELLS,BLVRA,PCID2,CD47,GDNF,BCL6,AHR,CDK5R1,SMARCA1,HBA1/HBA2,ZNF274,IL1A,EPHX1,BCL11A,IFI16,HEY1,CIBAR1,CALCB,SERPINI1,SERPINB1,EFEMP1,ZIC5,CRH,HTATIP2,FOXP1,NDRG1,PKD1,RHOC,CNTFR,THY1,KIF11,DLX2,CBX2,ZBTB18,HLA-DMA,STK11,NTRK3,CHRNB2,VSNL1,SERPINH1,GRM5,TOX3,WWP2,LAMB2,LINC01234,TPX2,CTNNA1,SIVA1,GRIK5,DTX1,LPAR2,BCL11B,LMO2,APOL6,EDA2R,NME1,UNC5C,SRCIN1,ACSL4,PHLDA1,NUMB,HAPLN1,NPTX2,SEPTIN9,ORMDL3,APEX1,AURKB,USP53,MVP,FGFR1,GJB1,PPM1D,LMO4,HDAC8,GABBR1,PSMD6,PHLPP1,NR2E1,CCT2,RANBP1,TNFRSF10D,LRP8,PAK5,MTARC2,ATP2B2,SCN5A,ATG3,SOX2,OSGIN1,RASSF2,POT1,ERCC2,EGFR,SPTLC2,PDGFRA,GAS1,SRPK1,PRF1,MELK,DDAH2,FSTL1,MLLT11,NAA38,MYC,EZH2,TFPI,COL4A2,SOX9,ATF7,CSPG4,SEMA4D,SSRP1,SGMS2,SRI,ADAM10,NEFL,H2AX,AKTIP,BMPR1B,BSG,DGCR5,BEX3,STAT1,BHLHE41,TOX,NUF2,ADH5,PAFAH1B3,DLX1,ADCYAP1R1,KIF14,NFATC4,MAP3K7,G6PD,LMNB1,MYBL1,ABCA1,MFN1,ICOSLG/LOC102723996,ATXN3,DVL1,CIT,CPE,NR2F1,ECT2,APC2,CHEK1,CTSV,TIAF1,VCL,FOXM1,CST3,TSPO,CNP,CD274,EBAG9,BIRC3,DIP2A,RPS19,F2R,CAPN3,KCND2,GPX7,EEF1D,ARNT,S100A10,ADGRL2,SNX33,MKI67,BAZ1A,EFNB2,IFT88,RTN1,CAMK1D,SLC25A27,CAPRIN1,HHIP,LUCAT1,RAI14,TGFB1I1,SAV1,CKAP2,NEK7,MBD4,S1PR3,SLC20A1,IFIT2,NUSAP1,PARVA,EPHA2,PDE4B,MAG,POU3F2,AKAP12,IRF7,GSTM5,TRIB2,XRCC4,MEGF10,EIF4EBP1,FOXO1,EIF4G1,CD151,LRRC8A,GLIS3,IGF2BP1,RACK1,BBS4,PAK1,ARHGAP35,THOC6,CHRM3,OGT,USP10,OTX2,QARS1,GRK5,ARIH2,KNL1,CENPF,SEPTIN4,CNGA3,SPC25,MAP2K2,FAIM2,CAST,PLCG1,GNG2,PAXX,HK1,CDK1,AQP11,RGS5,DUSP10,HSPA2,LRP2,HINT1,COX5A,ADCY6,SHROOM2,PHB,PLD1,MX1,FGF13,PTPRF,LAMTOR2,CKS2,RTKN,NGF,ST18,PIANP,DUSP4,GAS7,AATK,CYLD,PTPRZ1,SELENON,JAK2,CCL5,CRYAB,EIF5A,ADAMTS3,PPP1R2,GABRB3,CDK5,EPHB2,PRMT1,PPARD,FBLN1,ZIC1,RASD1,NR3C1,RPS6KA2,TEAD1,RNASEH1,GADD45A,SERPINE1,CALB1,CKMT1A/CKMT1B,YES1,SOX4,NOTCH3,NME2,GJA1,SUN2,SALL2,PHGDH,MTCP1,OTX1,ITGA3,ZFYVE16,SH3RF1,TP53INP1,STAMBP,CDK2AP1,DHFR,WNT2,CUEDC2,SFRP2,ITGB3,PSAP,UGT8,BLNK,CCL4,MTMR6,MIB1,MAOA,DDB2,SOX2-OT,HSD17B10,NTN1,SLC9A1,PPP1CA,GLI2,MAGED1,MFGE8,MYH10,CCT4,PBX1,NABP2,NGFR,CTBP2,SCN2A,GMFB,FHL2,EPAS1,ZC3H12A,POU3F3,GAL,GLS,BGN,NELL1,NFE2L2"	Functional	Adult_vs_Fetal
APP Signaling	9.227678293	1.054	"ABCA1,ACTA2,ACTN2,ADAM10,ADAP1,AMPH,ANXA6,ATG3,ATP1A2,ATP1A3,ATP1B1,ATP2B2,ATP5F1A,ATP5F1D,ATP6V1E1,BASP1,BAX,BIN1,BSG,CA12,CALB1,CAST,CCL4,CCL5,CCND2,CCR5,CD151,CDK1,CDK4,CDK5,CDK5R1,CFL2,CFLAR,CKB,CKMT1A/CKMT1B,CLDN5,COX5A,CRYL1,CTSV,CXCL12,CYFIP2,DBI,DBN1,DCX,DDAH1,DSTN,EEF1G,EGFR,EIF5A2,ENPP2,EOMES,EPAS1,EPHB2,F2RL1,FBL,FBXL20,FEZF2,FGFR1,FN1,FZD3,FZD7,GABBR2,GAP43,GBP4,GDNF,GFAP,GLIS3,GNG2,GPM6B,GRIA1,GRIN2B,H2AZ2,HBA1/HBA2,HBG2,HES1,HEY1,HINT1,HK1,IFI16,IFIT2,IGFBP2,IGFBP5,IL1A,IL1B,INA,INSR,IRF7,ISG20,ITGA3,ITGB3,KCND2,LDHB,LMO4,LRP1,LRP5,MAGI1,MAP2,MAP2K2,MAP3K7,MBD4,MBP,MCM10,MYC,NDUFB11,NDUFS8,NEFL,NENF,NGFR,NME1,NNAT,NOG,NPY,NRG1,NXPE3,PAK1,PAK3,PAX6,PDE4B,PDGFRA,PDGFRB,PDXP,PENK,PFKP,PIK3R1,PJA1,PLAT,PLCG1,POU3F3,PPARD,PRDX5,PRMT1,PURA,QDPR,RASSF2,S1PR1,SCN1A,SERPINE1,SLC11A2,SLC1A2,SLFN5,SNAP25,SOX9,SPTAN1,SSRP1,ST8SIA1,STAT3,STMN2,STUB1,STX1B,THY1,TNFRSF10B,TOP2A,TP53,TP53INP1,TPPP,TUBA1A,TUBA8,TUBB,TUBB2A,TUBB2B,TUBB3,TUBB4B,VAMP3,VCAN,VSNL1,ZFP36L1"	Upstream	Adult_vs_Fetal
AR Signaling	6.066006836	-1.768	"ABCA1,ADGRA3,AKR1C3,ATAD2,ATP1A3,BASP1,BIRC5,BUB1,BUB1B,CADM3,CALCB,CAST,CCL5,CDCA5,CDO1,CFLAR,CHRNB1,CIT,CLDN11,CLGN,COL3A1,CXCL12,DBI,DCTPP1,DEPDC1,DHCR7,EGFR,ELK4,ELOVL2,EPAS1,EPHX1,ETV1,FABP5,FABP7,FAM89B,FOXO1,FZD2,GDNF,GFAP,GJA1,GLCCI1,HOPX,IGFBP5,KIF15,KIF2C,KIF4A,LRATD1,MAD2L1,MAOA,MCM4,MSI1,MYC,MYO1B,MYOT,NDRG1,NEK2,NGFR,NR0B1,NR3C1,NUSAP1,PBK,PCDH11X,PDE9A,PDGFRA,PENK,PFKFB2,PLAT,PLS3,S1PR3,SCN5A,SERPINE1,SGK1,SKP2,SLC26A7,SMTN,SNAI2,SOX9,STAT1,TACC2,TF,TGFB2,TIMP3,TMEM158,TPD52,TPX2,TUBB3,UBE2C,UNC5C,VCAN,VCL,VSNL1,WEE1,WIPF1"	Upstream	Adult_vs_Fetal
AREG Signaling	4.795880017	-3.956	"AURKB,BIRC5,BSG,CCNB2,CDC20,CDC45,CENPF,DESI2,EGFR,FOXM1,HJURP,IFIT2,IFIT3,KIF14,KIF20A,MKI67,MMP15,PRC1,PTX3,RRM2,RUNX1,SSRP1,STX12,TOP2A"	Upstream	Adult_vs_Fetal
Arrest in mitosis	8.93930216	0	"NEK7,TTK,SHROOM2,BUB1B,DMRT1,CCNB2,KIF11,TP53,PURA,KIF4A,CDK19,TUBA1A,NUF2,ADGRL2,NDC80,TPX2,BAZ1A,RPS6KA3,BIRC5,RACGAP1,CDC20,MAD2L1,CCT4,KNL1,BUB1,SPC25,GADD45A,SGO1,AURKB,CKAP2,FBXO5,CDK1,CHEK1"	Functional	Adult_vs_Fetal
ASCL1 Signaling	10.72815839	-4.077	"BIRC5,CDCA7,CDK1,CDK5,CDK5R1,DCX,DLL3,DLX1,DLX2,EPHA2,EPHB3,FOXG1,FOXM1,GAD1,GRM5,GSX2,INSM1,KCNIP2,NEUROD6,NFASC,NPY,PCSK6,PDGFRA,PLXNA2,PNOC,RORB,SALL3,SEZ6,SKP2,SNAP25,SOX2,TEAD1,TEAD2,YAP1,ZMAT4"	Upstream	Adult_vs_Fetal
ATF4 Signaling	3.434152181	-1.079	"ABCA1,APEX1,ATP1A2,BCAT1,BCL11A,CA9,CAST,CD55,CHAC1,COL4A2,CPT1A,CYP27A1,DDIT3,EIF4EBP1,FAM102A,FN1,GADD45A,IGFBP2,IGFBP5,IGFBP7,NDRG1,PENK,PHGDH,PMP22,PTX3,PYCR1,SEL1L,SHMT2,SLC7A3,SNAI2,STAT3,TBC1D16,TGFB2,TKT,TNFRSF10B,TNFRSF11A,WARS1"	Upstream	Adult_vs_Fetal
ATN1 Signaling	6.68613278	0	"ASGR1,ATP1A3,ATP1B1,ATP1B2,BASP1,BCL6,CCNDBP1,CDK2AP1,CNR1,DLG1,DPYSL3,ETV1,FGF1,GAD1,GAS7,GRIK1,GRK5,IFI16,IGFBP5,KCNK3,MARCKSL1,MAX,MOBP,NEFL,NR2F1,PENK,PTPN22,PTPRF,SOX11,SOX4,SPTBN2,STX1B,TIAM1,TUBB,VAMP1,VSNL1"	Upstream	Adult_vs_Fetal
Autism spectrum disorder or intellectual disability	6.801342913	0	"DPP6,DLG3,TSPO,PAK3,IMPA1,EEF1D,GRIN2D,ADGRL2,TNFRSF11A,CNKSR2,PIGW,CADPS,USP3,LAMA1,SOX5,SLC1A2,SLC25A16,SLC16A2,FOXG1,GABBR2,THAP11,CADPS2,SOCS6,GABRA3,BCL11A,FGD1,NEXMIF,NDN,NLGN4X,FOXP1,SNAP25,RHOC,H1-4,TSPAN7,PURA,TUBB2A,ZBTB18,FKTN,CDC45,IL1RAPL1,TRIM68,BCL11B,PAK1,THOC6,CHRM3,NALCN,OGT,MACROH2A2,GRIN2B,ACSL4,CTNNA2,PCGF2,PAX6,TUBB2B,PLAAT4,WASHC4,MED23,FGFR1,PPM1D,CASK,NETO1,TUBB3,KCNQ5,AHDC1,GABBR1,CHD3,TUBG1,FAM126A,PCDH9,YAP1,KIF4A,SCN5A,GABRA4,AFF2,SEMA3C,BCL9,SCN3B,C12orf4,KIRREL3,OBSL1,ZC4H2,ERCC2,SLC17A6,NFIB,PTPRT,LIX1L,SMYD3,LMBRD1,GABRB3,GABRA2,CADM3,COL9A1,ANK3,PYCR1,TRMT1,TBCE,SCN1A,SMAD1,FMNL2,DCX,ALDH5A1,PRMT7,CHSY1,SERPINE1,CKMT1A/CKMT1B,SOX4,TANGO2,SPRYD3,PTAR1,CDK10,B4GAT1,NEFL,TBC1D24,PTCHD1,TUSC3,MYT1L,KCNQ2,ZNF385D,NLGN1,ITGB3,NLGN3,ADNP,SMS,MAOA,HSD17B10,TUBB,GRIA1,RPS6KA3,RIMS1,ARX,KIAA0513,CHD1L,IGFBP7,SOX11,TXNL4A,SCN2A,SLC1A6,SNRPB"	Functional	Adult_vs_Fetal
BDNF Signaling	3.809668302	-2.059	"ACOT7,ALDH7A1,APEX1,ARPP21,ATAT1,ATP1A3,BMP7,C5orf34,CCN1,CCND2,CNR1,CRMP1,CSPG4,DPYSL3,DUSP4,EEF1D,GAP43,GFAP,GLUL,GPC4,GPS1,GRIA1,GRIN2B,HSPA2,IFRD1,INHBB,KCNIP2,KLC1,LAMB2,MAG,MBP,NCAM1,NELL2,NGFR,NPY,NRXN1,PALMD,PCDH8,PENK,PLP1,RNH1,RPL13,RPL35A,S100A10,SBK1,SERPINH1,SFR1,SFRP2,SLC17A6,SNAP25,TGFB2,TIAM1,TIPARP,TRIB2,TUBA1A,TUBB3,VSNL1,WNT2"	Upstream	Adult_vs_Fetal
