© 2000-2023 QIAGEN. All rights reserved.

Analysis Details for My Projects->Aging_scRNA->ZNF274vsEGFP - 2023-01-29 06:53 PM
Workspace	My Projects
Project	Aging_scRNA
Analysis	ZNF274vsEGFP - 2023-01-29 06:53 PM
Date	Sun Jan 29 15:53:30 PST 2023
Analysis ID	40216313

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->Aging_scRNA->ZNF274vsEGFP - 2023-01-29 06:53 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
IL-4 Signaling	-0E00		3.47E-03	HRAS,RASD1	
Iron homeostasis signaling pathway	-0E00		7.25E-03	SMAD5	
Multiple Sclerosis Signaling Pathway	-0E00		9.01E-03	BAX,HLA-C	
NF-κB Signaling	-0E00		5.25E-03	HRAS,RASD1,UBE2N	
NOD1/2 Signaling Pathway	-0E00		5.29E-03	FOS	
NUR77 Signaling in T Lymphocytes	-0E00		1.95E-03	HLA-C	
Necroptosis Signaling Pathway	-0E00		6.41E-03	TOMM20	
Neurovascular Coupling Signaling Pathway	-0E00		4.31E-03	GJA1	
OX40 Signaling Pathway	-0E00		2.09E-03	HLA-C	
PD-1, PD-L1 cancer immunotherapy pathway	-0E00		9.35E-03	HLA-C	
PI3K Signaling in B Lymphocytes	-0E00		5.08E-03	FOS,HRAS,RASD1	
PKCθ Signaling in T Lymphocytes	-0E00		7.17E-03	FOS,HRAS,POU2F1,RASD1	
Pathogen Induced Cytokine Storm Signaling Pathway	-0E00		2.70E-03	FOS	
Phagosome Formation	-0E00	-0.4472135954999579	7.19E-03	AP1S2,HRAS,MYL6,RASD1,VIPR2	
Phospholipase C Signaling	-0E00		2.68E-03	HRAS,MYL6,RASD1	
RHOGDI Signaling	-0E00		9.09E-03	ACTB,MYL6	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00		6.49E-03	FOS,HRAS,RASD1	
Relaxin Signaling	-0E00		6.45E-03	FOS	
Role Of Osteoblasts In Rheumatoid Arthritis Signaling Pathway	-0E00		8.20E-03	CSNK1E,SMAD5	
Role of NFAT in Cardiac Hypertrophy	-0E00		8.93E-03	HRAS,RASD1	
Role of NFAT in Regulation of the Immune Response	-0E00		3.86E-03	CSNK1E,FOS,HRAS,RASD1	
S100 Family Signaling Pathway	-0E00	0.0	7.77E-03	ATP5F1C,ATP5F1E,CDKN1A,FOS,SMAD5,VIPR2	
SAPK/JNK Signaling	-0E00		3.98E-03	HRAS,RASD1	
SNARE Signaling Pathway	-0E00		7.35E-03	MYL6	
Superpathway of Inositol Phosphate Compounds	-0E00		8.55E-03	ATP1A2,PPP1CA	
Synaptogenesis Signaling Pathway	-0E00		6.35E-03	HRAS,RASD1	
Systemic Lupus Erythematosus In B Cell Signaling Pathway	-0E00	0.0	5.52E-03	CCND2,FOS,HRAS,RASD1	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00	1.0	6.22E-03	FOS,HLA-C,HRAS,RASD1	
Systemic Lupus Erythematosus Signaling	-0E00		5.62E-03	FOS,HLA-C,HRAS,RASD1,SNRPB,SNRPG	
T Cell Exhaustion Signaling Pathway	-0E00		7.05E-03	FOS,HLA-C,HRAS,RASD1	
T Cell Receptor Signaling	-0E00	0.0	6.49E-03	FOS,HLA-C,HRAS,RASD1	
TEC Kinase Signaling	-0E00		3.46E-03	ACTB,FOS	
Th1 Pathway	-0E00		8.20E-03	NOTCH1	
Th1 and Th2 Activation Pathway	-0E00		5.81E-03	NOTCH1	
Th2 Pathway	-0E00		7.30E-03	NOTCH1	
Type I Diabetes Mellitus Signaling	-0E00		3.93E-03	GAD2,HLA-C	
Xenobiotic Metabolism PXR Signaling Pathway	-0E00		5.21E-03	PPP1CA	
Xenobiotic Metabolism Signaling	-0E00		6.87E-03	HRAS,RASD1	
cAMP-mediated signaling	-0E00		4.24E-03	VIPR2	
p38 MAPK Signaling	-0E00		8.33E-03	HMGN1	
p70S6K Signaling	-0E00		6.88E-03	HRAS,RASD1,YWHAB,YWHAE	
Neuropathic Pain Signaling In Dorsal Horn Neurons	2.06E-01		9.90E-03	FOS	
Apelin Cardiomyocyte Signaling Pathway	2.11E-01		1.01E-02	MYL6	
Death Receptor Signaling	2.19E-01		1.04E-02	ACTB	
IL-1 Signaling	2.19E-01		1.04E-02	FOS	
Small Cell Lung Cancer Signaling	2.19E-01		1.04E-02	CCND2	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	2.25E-01		1.06E-02	ACTB	
3-phosphoinositide Biosynthesis	2.32E-01		9.76E-03	ATP1A2,PPP1CA	
RANK Signaling in Osteoclasts	2.34E-01		1.10E-02	FOS	
Ephrin Receptor Signaling	2.38E-01		9.90E-03	HRAS,RASD1	
Macrophage Alternative Activation Signaling Pathway	2.38E-01		9.90E-03	FOS,H4C3	
Oxytocin In Brain Signaling Pathway	2.44E-01		1.01E-02	HRAS,RASD1	
Role Of Osteoclasts In Rheumatoid Arthritis Signaling Pathway	2.44E-01		9.71E-03	FOS,HRAS,RASD1	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	2.46E-01		1.15E-02	NOTCH1	
Synaptic Long Term Depression	2.46E-01		1.01E-02	HRAS,RASD1	
FGF Signaling	2.49E-01		1.16E-02	HRAS	
D-myo-inositol-5-phosphate Metabolism	2.53E-01		1.03E-02	ATP1A2,PPP1CA	
PPARα/RXRα Activation	2.53E-01		1.03E-02	HRAS,RASD1	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.55E-01		1.03E-02	BAX,MYL6	
Leukocyte Extravasation Signaling	2.57E-01		1.04E-02	ACTB,MYL6	
3-phosphoinositide Degradation	2.61E-01		1.05E-02	ATP1A2,PPP1CA	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.61E-01		1.05E-02	FOS,PPP1CA	
Dopamine Receptor Signaling	2.7E-01		1.25E-02	PPP1CA	
Dopamine-DARPP32 Feedback in cAMP Signaling	2.73E-01		1.08E-02	CSNK1E,PPP1CA	
Maturity Onset Diabetes of Young (MODY) Signaling	2.73E-01		1.27E-02	GAPDH	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	2.73E-01		1.27E-02	BAX	
IL-7 Signaling Pathway	2.77E-01		1.28E-02	BAX	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	2.77E-01		1.28E-02	CSNK1E	
Toll-like Receptor Signaling	2.77E-01		1.28E-02	FOS	
VDR/RXR Activation	2.77E-01		1.28E-02	CDKN1A	
Hypoxia Signaling in the Cardiovascular System	2.85E-01		1.32E-02	UBE2N	
Leptin Signaling in Obesity	2.85E-01		1.32E-02	NPY	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	2.9E-01		1.12E-02	ATP1A2,PPP1CA	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	2.9E-01		1.12E-02	ATP1A2,PPP1CA	
Ephrin B Signaling	3.01E-01		1.39E-02	HRAS	
Growth Hormone Signaling	3.05E-01		1.41E-02	FOS	
Insulin Secretion Signaling Pathway	3.15E-01		1.10E-02	EIF4A2,PABPC1,SEC61G	
Androgen Signaling	3.16E-01		1.18E-02	POLR2L,TAF7	
CD40 Signaling	3.23E-01		1.49E-02	FOS	
HOTAIR Regulatory Pathway	3.34E-01		1.23E-02	CDKN1A,KMT2C	
Cardiac Hypertrophy Signaling	3.4E-01		1.15E-02	HRAS,MYL6,RASD1	
Dermatan Sulfate Biosynthesis	3.58E-01		1.67E-02	DSEL	
Wound Healing Signaling Pathway	3.62E-01		1.19E-02	FOS,HRAS,RASD1	
MSP-RON Signaling Pathway	3.69E-01		1.72E-02	ACTB	
CD27 Signaling in Lymphocytes	3.74E-01		1.75E-02	FOS	
Cellular Effects of Sildenafil (Viagra)	3.75E-01		1.33E-02	ACTB,MYL6	
Semaphorin Neuronal Repulsive Signaling Pathway	3.75E-01		1.33E-02	MYL6,VCAN	
Endocannabinoid Cancer Inhibition Pathway	3.85E-01		1.36E-02	CCND2,CDKN1A	
Transcriptional Regulatory Network in Embryonic Stem Cells	3.92E-01		1.85E-02	H4C3	
Xenobiotic Metabolism General Signaling Pathway	4E-01		1.40E-02	HRAS,RASD1	
UVB-Induced MAPK Signaling	4.05E-01		1.92E-02	FOS	
Osteoarthritis Pathway	4.05E-01		1.27E-02	HMGB1,NOTCH1,SMAD5	
Role Of Chondrocytes In Rheumatoid Arthritis Signaling Pathway	4.07E-01		1.42E-02	EGR1,FOS	
Gαi Signaling	4.11E-01		1.43E-02	HRAS,RASD1	
Amyloid Processing	4.11E-01		1.96E-02	CSNK1E	
TNFR1 Signaling	4.11E-01		1.96E-02	FOS	
Hepatic Fibrosis Signaling Pathway	4.19E-01	-1.0	1.18E-02	CSNK1E,FOS,HRAS,MYL6,RASD1	
RAC Signaling	4.22E-01		1.46E-02	HRAS,RASD1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	4.28E-01		1.32E-02	CSNK1E,FOS,SMAD5	
CCR3 Signaling in Eosinophils	4.34E-01		1.49E-02	HRAS,RASD1	
Thrombin Signaling	4.37E-01		1.33E-02	HRAS,MYL6,RASD1	
Dermatan Sulfate Biosynthesis (Late Stages)	4.39E-01		2.13E-02	DSEL	
iNOS Signaling	4.39E-01		2.13E-02	FOS	
nNOS Signaling in Neurons	4.39E-01		2.13E-02	RASD1	
DNA damage-induced 14-3-3σ Signaling	4.46E-01		2.17E-02	CDKN1A	
fMLP Signaling in Neutrophils	4.47E-01		1.53E-02	HRAS,RASD1	
G Beta Gamma Signaling	4.55E-01		1.55E-02	HRAS,RASD1	
BER (Base Excision Repair) Pathway	4.62E-01		2.27E-02	HMGB1	
Endocannabinoid Developing Neuron Pathway	4.64E-01		1.57E-02	HRAS,RASD1	
Pancreatic Adenocarcinoma Signaling	4.68E-01		1.59E-02	CDKN1A,NOTCH1	
B Cell Activating Factor Signaling	4.7E-01		2.33E-02	FOS	
April Mediated Signaling	4.78E-01		2.38E-02	FOS	
Mechanisms of Viral Exit from Host Cells	4.87E-01		2.44E-02	ACTB	
Neuroprotective Role of THOP1 in Alzheimer's Disease	4.91E-01		1.65E-02	HLA-C,YWHAE	
Clathrin-mediated Endocytosis Signaling	4.93E-01		1.44E-02	ACTB,AP1S2,MYO6	
HIF1α Signaling	4.93E-01		1.44E-02	CDKN1A,HRAS,RASD1	
RAR Activation	5.04E-01		1.46E-02	ACTB,FOS,SMAD5	
Antigen Presentation Pathway	5.04E-01		2.56E-02	HLA-C	
Fc Epsilon RI Signaling	5.06E-01		1.69E-02	HRAS,RASD1	
Neuregulin Signaling	5.1E-01		1.71E-02	HRAS,RASD1	
Docosahexaenoic Acid (DHA) Signaling	5.14E-01		2.63E-02	BAX	
IL-17A Signaling in Fibroblasts	5.14E-01		2.63E-02	FOS	
Notch Signaling	5.14E-01		2.63E-02	NOTCH1	
Human Embryonic Stem Cell Pluripotency	5.19E-01		1.49E-02	HRAS,RASD1,SMAD5	
Glutathione-mediated Detoxification	5.23E-01		2.70E-02	GGH	
Natural Killer Cell Signaling	5.3E-01		1.52E-02	HLA-C,HRAS,RASD1	
Interferon Signaling	5.33E-01		2.78E-02	BAX	
MIF-mediated Glucocorticoid Regulation	5.33E-01		2.78E-02	MIF	
CLEAR Signaling Pathway	5.35E-01	1.0	1.40E-02	HRAS,RASD1,YWHAB,YWHAE	
Endothelin-1 Signaling	5.46E-01		1.55E-02	FOS,HRAS,RASD1	
Opioid Signaling Pathway	5.51E-01		1.43E-02	FOS,HRAS,RASD1,RGS16	
α-Adrenergic Signaling	5.52E-01		1.83E-02	HRAS,RASD1	
TNFR2 Signaling	5.77E-01		3.12E-02	FOS	
Colorectal Cancer Metastasis Signaling	5.82E-01		1.48E-02	BAX,FOS,HRAS,RASD1	
Acute Phase Response Signaling	5.83E-01		1.62E-02	FOS,HRAS,RASD1	
Sumoylation Pathway	5.86E-01		1.94E-02	FOS,ZEB1	
Circadian Rhythm Signaling	5.92E-01		1.49E-02	CSNK1E,HRAS,RASD1,VIPR2	
Signaling by Rho Family GTPases	5.96E-01	-1.0	1.50E-02	ACTB,FOS,MYL6,STMN1	
Tight Junction Signaling	6.09E-01		1.68E-02	ACTB,FOS,MYL6	
Superpathway of Cholesterol Biosynthesis	6.13E-01		3.45E-02	ACAT2	
Melanocyte Development and Pigmentation Signaling	6.17E-01		2.04E-02	HRAS,RASD1	
WNT/β-catenin Signaling	6.32E-01		1.72E-02	CSNK1E,GJA1,TLE1	
Cardiomyocyte Differentiation via BMP Receptors	6.4E-01		3.70E-02	SMAD5	
Actin Nucleation by ARP-WASP Complex	6.5E-01		2.15E-02	HRAS,RASD1	
Estrogen-mediated S-phase Entry	6.55E-01		3.85E-02	CDKN1A	
IL-17A Signaling in Gastric Cells	6.55E-01		3.85E-02	FOS	
Tryptophan Degradation III (Eukaryotic)	6.55E-01		3.85E-02	ACAT2	
Crosstalk between Dendritic Cells and Natural Killer Cells	6.64E-01		2.20E-02	ACTB,HLA-C	
Immunogenic Cell Death Signaling Pathway	6.71E-01		2.22E-02	BAX,HMGB1	
Tumoricidal Function of Hepatic Natural Killer Cells	6.86E-01		4.17E-02	BAX	
Myelination Signaling Pathway	6.87E-01	-0.4472135954999579	1.53E-02	FOS,HRAS,NOTCH1,RASD1,SMAD5	
Cyclins and Cell Cycle Regulation	7.08E-01		2.35E-02	CCND2,CDKN1A	
Ovarian Cancer Signaling	7.14E-01		1.90E-02	GJA1,HRAS,RASD1	
Neuroinflammation Signaling Pathway	7.24E-01	-0.4472135954999579	1.58E-02	CALB2,FOS,GAD2,HLA-C,HMGB1	
FLT3 Signaling in Hematopoietic Progenitor Cells	7.32E-01		2.44E-02	HRAS,RASD1	
IL-10 Signaling	7.36E-01		1.95E-02	CDKN1A,FOS,HLA-C	
PTEN Signaling	7.53E-01		1.99E-02	CDKN1A,HRAS,RASD1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	7.57E-01		2.53E-02	FOS,JUNB	
Dilated Cardiomyopathy Signaling Pathway	7.59E-01		2.00E-02	ACTB,BAX,MYL6	
NF-κB Activation by Viruses	7.65E-01		2.56E-02	HRAS,RASD1	
Glutaryl-CoA Degradation	7.77E-01		5.26E-02	ACAT2	
Angiopoietin Signaling	7.83E-01		2.63E-02	HRAS,RASD1	
Macropinocytosis Signaling	7.83E-01		2.63E-02	HRAS,RASD1	
Caveolar-mediated Endocytosis Signaling	7.92E-01		2.67E-02	ACTB,HLA-C	
Isoleucine Degradation I	7.98E-01		5.56E-02	ACAT2	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	7.98E-01		5.56E-02	ACAT2	
Glioma Invasiveness Signaling	8.1E-01		2.74E-02	HRAS,RASD1	
Apelin Endothelial Signaling Pathway	8.14E-01		2.13E-02	FOS,HRAS,RASD1	
Insulin Receptor Signaling	8.21E-01		2.14E-02	HRAS,PPP1CA,RASD1	
RAN Signaling	8.21E-01		5.88E-02	RANBP1	
Adipogenesis pathway	8.27E-01		2.16E-02	HAT1,SMAD5,TXNIP	
Integrin Signaling	8.34E-01		1.89E-02	ACTB,HRAS,PFN1,RASD1	
GM-CSF Signaling	8.39E-01		2.86E-02	HRAS,RASD1	
Role of PKR in Interferon Induction and Antiviral Response	8.47E-01		2.21E-02	BAX,FOS,HMGB1	
Role of JAK1 and JAK3 in γc Cytokine Signaling	8.49E-01		2.90E-02	HRAS,RASD1	
SPINK1 General Cancer Pathway	8.49E-01		2.90E-02	HRAS,RASD1	
Cell Cycle: G1/S Checkpoint Regulation	8.59E-01		2.94E-02	CCND2,CDKN1A	
ERBB4 Signaling	8.59E-01		2.94E-02	HRAS,RASD1	
Gα12/13 Signaling	8.68E-01		2.26E-02	HRAS,MYL6,RASD1	
P2Y Purigenic Receptor Signaling Pathway	8.68E-01		2.26E-02	FOS,HRAS,RASD1	
Oxytocin Signaling Pathway	8.7E-01	-1.3416407864998738	1.77E-02	FOS,GJA1,HRAS,MYL6,RASD1	
Synaptic Long Term Potentiation	8.75E-01		2.27E-02	HRAS,PPP1CA,RASD1	
ERB2-ERBB3 Signaling	8.91E-01		3.08E-02	HRAS,RASD1	
Induction of Apoptosis by HIV1	8.91E-01		3.08E-02	BAX,BBC3	
ILK Signaling	8.93E-01	-2.0	1.99E-02	ACTB,FOS,MYL6,TMSB10/TMSB4X	
IL-6 Signaling	8.96E-01		2.33E-02	FOS,HRAS,RASD1	
Mevalonate Pathway I	8.99E-01		7.14E-02	ACAT2	
Adrenomedullin signaling pathway	9.05E-01		2.01E-02	BAX,FOS,HRAS,RASD1	
Protein Ubiquitination Pathway	9.12E-01		1.83E-02	HLA-C,HSPA4L,PSMA2,PSMC3,UBE2N	
RHOA Signaling	9.34E-01		2.42E-02	ACTB,MYL6,PFN1	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	9.34E-01		2.42E-02	HRAS,RASD1,SMAD5	
Endometrial Cancer Signaling	9.48E-01		3.33E-02	HRAS,RASD1	
GNRH Signaling	9.52E-01		2.09E-02	EGR1,FOS,HRAS,RASD1	
Renin-Angiotensin Signaling	9.57E-01		2.48E-02	FOS,HRAS,RASD1	
Polyamine Regulation in Colon Cancer	9.6E-01		3.39E-02	FOS,ODC1	
NGF Signaling	9.65E-01		2.50E-02	BAX,HRAS,RASD1	
Cancer Drug Resistance By Drug Efflux	9.72E-01		3.45E-02	HRAS,RASD1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	9.72E-01		3.45E-02	CDKN1A,CLSPN	
Cholecystokinin/Gastrin-mediated Signaling	9.73E-01		2.52E-02	FOS,HRAS,RASD1	
MSP-RON Signaling In Macrophages Pathway	9.73E-01		2.52E-02	FOS,HRAS,RASD1	
IL-17 Signaling	9.77E-01	0.0	2.14E-02	FOS,HRAS,RASD1,RGS16	
IL-33 Signaling Pathway	9.83E-01		2.15E-02	FOS,H2AC20,H2AZ1,MACROH2A1	
CNTF Signaling	9.85E-01		3.51E-02	HRAS,RASD1	
PAK Signaling	9.9E-01		2.56E-02	HRAS,MYL6,RASD1	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	9.98E-01		1.81E-02	CSNK1E,DAAM1,FOS,HRAS,MIF,RASD1	
Cell Cycle Control of Chromosomal Replication	9.98E-01		3.57E-02	MCM7,RPA3	
EGF Signaling	9.98E-01		3.57E-02	FOS,HRAS	
FAT10 Signaling Pathway	9.98E-01		3.57E-02	PSMA2,PSMC3	
Ketogenesis	9.98E-01		9.09E-02	ACAT2	
Pentose Phosphate Pathway	9.98E-01		9.09E-02	TALDO1	
Sucrose Degradation V (Mammalian)	9.98E-01		9.09E-02	TPI1	
Bladder Cancer Signaling	9.98E-01		2.59E-02	CDKN1A,HRAS,RASD1	
Role of Tissue Factor in Cancer	9.98E-01		2.59E-02	EGR1,HRAS,RASD1	
Regulation of Actin-based Motility by Rho	1.01E00		2.61E-02	ACTB,MYL6,PFN1	
Prostate Cancer Signaling	1.02E00		2.63E-02	CDKN1A,HRAS,RASD1	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	1.02E00		2.63E-02	BAX,HRAS,RASD1	
Tumor Microenvironment Pathway	1.03E00	-1.0	2.23E-02	FOS,HLA-C,HRAS,RASD1	
DNA Methylation and Transcriptional Repression Signaling	1.03E00		2.68E-02	GADD45G,H4C3,ZEB1	
Ketolysis	1.04E00		1.00E-01	ACAT2	
Erythropoietin Signaling Pathway	1.04E00	0.0	2.26E-02	CCND2,FOS,HRAS,RASD1	
Telomerase Signaling	1.07E00		2.78E-02	CDKN1A,HRAS,RASD1	
PPAR Signaling	1.08E00		2.80E-02	FOS,HRAS,RASD1	
Paxillin Signaling	1.08E00		2.80E-02	ACTB,HRAS,RASD1	
Assembly of RNA Polymerase II Complex	1.08E00		4.00E-02	POLR2L,TAF7	
MYC Mediated Apoptosis Signaling	1.08E00		4.00E-02	BAX,BBC3	
Glioblastoma Multiforme Signaling	1.08E00		2.34E-02	CCND2,CDKN1A,HRAS,RASD1	
Apoptosis Signaling	1.11E00		2.88E-02	BAX,HRAS,RASD1	
Mouse Embryonic Stem Cell Pluripotency	1.11E00		2.88E-02	HRAS,RASD1,SMAD5	
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.15E00		2.47E-02	PSMA2,PSMC3,YWHAB,YWHAE	
UVA-Induced MAPK Signaling	1.17E00		3.06E-02	FOS,HRAS,RASD1	
MIF Regulation of Innate Immunity	1.18E00		4.55E-02	FOS,MIF	
Oncostatin M Signaling	1.2E00		4.65E-02	HRAS,RASD1	
Prolactin Signaling	1.2E00		3.16E-02	FOS,HRAS,RASD1	
Non-Small Cell Lung Cancer Signaling	1.21E00		3.19E-02	CCND2,HRAS,RASD1	
Breast Cancer Regulation by Stathmin1	1.22E00	1.0	1.68E-02	CCND2,HRAS,PPP1CA,RASD1,STMN1,TUBA1B,TUBB,TUBB2A,TUBB3,VIPR2	
ERBB Signaling	1.22E00		3.23E-02	FOS,HRAS,RASD1	
Pyroptosis Signaling Pathway	1.22E00		3.23E-02	BAX,HMGB1,TXNIP	
Axonal Guidance Signaling	1.24E00		1.77E-02	HRAS,MYL6,PFN1,RASD1,SRGAP3,TUBA1B,TUBB,TUBB2A,TUBB3	
Acute Myeloid Leukemia Signaling	1.24E00		3.30E-02	HRAS,IDH2,RASD1	
BMP signaling pathway	1.24E00		3.30E-02	HRAS,RASD1,SMAD5	
Ceramide Signaling	1.24E00		3.30E-02	FOS,HRAS,RASD1	
ERK/MAPK Signaling	1.25E00		2.33E-02	FOS,HRAS,PPP1CA,RASD1,YWHAB	
Pentose Phosphate Pathway (Non-oxidative Branch)	1.25E00		1.67E-01	TALDO1	
Regulation of Cellular Mechanics by Calpain Protease	1.26E00		3.33E-02	CCND2,HRAS,RASD1	
IL-8 Signaling	1.28E00	-1.0	2.38E-02	BAX,CCND2,FOS,HRAS,RASD1	
Chronic Myeloid Leukemia Signaling	1.29E00	0.0	2.16E-02	CCND2,CDKN1A,FOS,HRAS,NOTCH1,RASD1	
Cell Cycle Regulation by BTG Family Proteins	1.29E00		5.26E-02	BTG1,BTG2	
PDGF Signaling	1.29E00		3.45E-02	FOS,HRAS,RASD1	
LPS-stimulated MAPK Signaling	1.32E00		3.53E-02	FOS,HRAS,RASD1	
Glutamate Degradation III (via 4-aminobutyrate)	1.33E00		2.00E-01	GAD2	
Superpathway of Serine and Glycine Biosynthesis I	1.33E00		2.00E-01	PHGDH	
dTMP De Novo Biosynthesis	1.33E00		2.00E-01	DHFR	
BAG2 Signaling Pathway	1.33E00		3.57E-02	CDKN1A,PSMA2,PSMC3	
PEDF Signaling	1.33E00		3.57E-02	HRAS,RASD1,ZEB1	
